params,avg_areaUnderROC,std_areaUnderROC,param.GBTClassifier.maxIter,param.GBTClassifier.maxDepth,param.GBTClassifier.stepSize
"{""GBTClassifier.maxIter"": 6, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8741599499943332,0.0005329918898243097,6,4,0.2
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8467963387258348,0.002511349118582069,7,2,0.1
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8599244322479302,0.002477731137731697,7,2,0.2
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8641188653793455,0.0018745097769067164,7,3,0.1
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8707652952978845,0.0009178525326211397,7,3,0.2
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8695700204146869,0.0026740977288811536,7,4,0.1
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8750405556674643,0.00043952791314272153,7,4,0.2
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8512342332213033,0.0029638648015670728,8,2,0.1
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8620106377107369,0.0023939587372174683,8,2,0.2
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8653615861000556,0.0013141508433134259,8,3,0.1
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8724686882609207,0.001035620723645044,8,3,0.2
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8705878634645017,0.002519201358384146,8,4,0.1
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8756477481446151,0.0008816642731662741,8,4,0.2
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8556473196940243,0.0020045731103952628,9,2,0.1
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8635725306488035,0.002202256178438284,9,2,0.2
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.866862486590994,0.0014466300454998005,9,3,0.1
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8735504428696249,0.0009157920068199524,9,3,0.2
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8718196666558214,0.002484067495845551,9,4,0.1
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8761943072700328,0.0006575384957081729,9,4,0.2
