params,avg_areaUnderROC,std_areaUnderROC,param.GBTClassifier.maxIter,param.GBTClassifier.maxDepth,param.GBTClassifier.stepSize
"{""GBTClassifier.maxIter"": 6, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8752193418278749,0.0026364623868554565,6,4,0.2
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8418797591455481,0.01102643961864644,7,2,0.1
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8587881117342687,0.001083947081345275,7,2,0.2
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8639709151647589,0.0026280663174002936,7,3,0.1
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8703651948474476,0.0018759349794363817,7,3,0.2
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.870561909264301,0.0029711342451885837,7,4,0.1
"{""GBTClassifier.maxIter"": 7, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8764529640186421,0.0021901295395773237,7,4,0.2
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8484042784947522,0.0063312047891325,8,2,0.1
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8601081290114446,0.0014503056713835963,8,2,0.2
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8663533762941055,0.001304280399302885,8,3,0.1
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8723003654524755,0.002339626241576266,8,3,0.2
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8715770838999363,0.0027716600461784027,8,4,0.1
"{""GBTClassifier.maxIter"": 8, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.876787726636426,0.0023042336092594234,8,4,0.2
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.1}",0.8523504709829396,0.0026026809075309276,9,2,0.1
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 2, ""GBTClassifier.stepSize"": 0.2}",0.8611530055443043,0.001038931050432532,9,2,0.2
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.1}",0.8670566626788029,0.0005964034843948463,9,3,0.1
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 3, ""GBTClassifier.stepSize"": 0.2}",0.8732342456689707,0.002683197071529501,9,3,0.2
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.1}",0.8733535895656154,0.0024399103270690793,9,4,0.1
"{""GBTClassifier.maxIter"": 9, ""GBTClassifier.maxDepth"": 4, ""GBTClassifier.stepSize"": 0.2}",0.8771171208730922,0.0025906319000247686,9,4,0.2
